FID,CODCALLE,TEXTO,CAPACIDAD,GEOCODIGO,NOTAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
64.0,20596,AVENIDA BUENOS AIRES,2700.0,CT 3169,AV BUENOS AIRES / CL FRANCISCO BONIN / CONSEJ. EDUCACION,377489.20939,3148905.44602,-16.2513203196,28.4609676748
65.0,20631,AVENIDA JOSE MANUEL GUIMERA,2700.0,CT 3164,AV JOSE MANUEL GUIMERA / CASETAS AZULES,377497.05577,3149084.04459,-16.2512591777,28.4625801794
66.0,30416,CALLE DEL PERDON,1500.0,CT 1054,CL EL PERDON / CL POETA VIANA,376175.044051,3150118.8592,-16.2648708895,28.4717939735
67.0,30416,CALLE DEL PERDON,1500.0,CT 1185,CL EL PERDON / CL POETA ZEROLO .,376207.052301,3150099.13116,-16.2645418706,28.4716189786
68.0,30416,CALLE DEL PERDON,2700.0,CT 3181,"CL EL PERDON, 79 / CL POETA HERNANDEZ AMADOR",376230.591443,3150083.81203,-16.2642998209,28.4714829669
69.0,30416,CALLE DEL PERDON,2700.0,CT 2360,CL EL PERDON / CL SALAMANCA,376354.638982,3150008.71096,-16.2630248713,28.4708169914
70.0,30455,CALLE COMANDANTE SANCHEZ PINTO,2700.0,CT 2609,CL HORACIO NELSON / CL COMANDANTE SANCHEZ PINTO,376532.013204,3149948.00839,-16.2612068657,28.4702859942
71.0,43386,CALLE SARGENTO PROVISIONAL,2700.0,CT 2801,CL SARGENTO PROVISIONAL / CL FEIJOO / BAR DEPORTIVO,374087.686928,3148024.00536,-16.2859599688,28.4526892142
72.0,43386,CALLE SARGENTO PROVISIONAL,2700.0,CT 2376,CL SARGENTO PROVISIONAL / CL HURTADO DE MENDOZA,373905.725627,3147964.59705,-16.2878114829,28.4521355144
73.0,43405,CALLE AMERICA,2700.0,CT 2586,CL SANTA MONICA / CL AMERICA,373782.831647,3148236.36535,-16.2890961007,28.4545761778
74.0,43413,CALLE ANTONIO JOSE MELO Y NOVO,2500.0,CT 0409,CL MELO Y NOVO / CL CONDE DE PALLASAR,374001.035753,3148509.49412,-16.2868978273,28.4570620983
75.0,47121,CALLE CHAFIRA,1300.0,CT 0938,"CL CHAFIRA, 16 / PLAZA / FARMACIA / CONT. BAS.",373681.357611,3147291.13679,-16.2900287259,28.4460362294
76.0,82016,CALLE EDUARDO WESTERDAHL,2700.0,CT 3193,CL EDUARDO WESTERDALL / CL LEOPOLDO DE LA ROSA / CAB. TEL.,375252.011008,3149571.30981,-16.2742384638,28.4667646418
77.0,82047,CALLE IGUESTE,2700.0,CT 2712,CL IGUESTE / CL LAS HIEDRAS,374296.403397,3148579.15329,-16.2838892913,28.4577192309
78.0,82167,CALLE REPUBLICA DE HONDURAS,1500.0,CT 1048,CL LA MARINA / CL REPUB. DE HONDURAS / ED USOS MULTIPLES,377865.005327,3150262.95351,-16.2476266116,28.4732537938
79.0,59466,PLAZA CONCHA CASTRO,2700.0,CT 2793,PZ. CONCHA CASTRO / CL ADEJE,374917.852645,3150363.09856,-16.2777370051,28.4738780636
80.0,59957,PLAZA SAN FRANCISCO,2700.0,CT 2315,CL SAN FRANCISCO / CL VILLALBA HERVAS,377720.654345,3149668.78023,-16.2490378167,28.4678781297
81.0,81895,CARRETERA IGUESTE DE SAN ANDRES,2500.0,CT 0651,CTRA.GRAL.(FINAL) CASERIO CASAS DE ABAJO,387061.766136,3156060.4023,-16.1542659197,28.5264039253
82.0,82063,CALLE LA CRUZ DE ALMACIGA,2700.0,CT 2815,CT TAGANANA-BENIJOS / CT A ALMACIGA / PZ NTRA.SRA.BEGO¥A / P. BUS,382629.617981,3161040.07953,-16.2000653455,28.5709510221
83.0,10637,CARRETERA PARQUE DE LAS MESAS,2700.0,CT 1875,CT LOS CAMPITOS (ENTRADA EMISORA),375519.645435,3152431.61388,-16.2718145039,28.4926028407
84.0,10637,CARRETERA PARQUE DE LAS MESAS,3000.0,CT 0058,CT GRAL. / PARQUE RECREATIVO LAS MESAS (INT),376031.175927,3151258.07048,-16.2664628481,28.4820610591
85.0,01014,CALLE TRASERA PLAZA DE TOROS,2700.0,CT 2369,CL COMANDANTE SANCHEZ PINTO / PLAZA DE TOROS,376602.256992,3149910.27104,-16.2604854361,28.4699520851
86.0,10625,CALLE LA ESTRELLA,2700.0,CT 2570,AV PRINCIPES DE ESPA¥A / CL LA ESTRELLA,373930.38568,3147550.23344,-16.2875143776,28.4483985085
87.0,01088,CALLE ACCESO 2 BAJO PUENTE SERRADOR,2700.0,CT 3319,"CL PROL. RAMON Y CAJAL / CL ANTONIO DOMINGUEZ AFONSO, 43",377493.10931,3149341.8477,-16.2513268874,28.464906359
88.0,10760,CALLE ALDEAS INFANTILES,2700.0,CT 2387,"CM SAN FCO. DE PAULA (FINAL) / CL CUEVILLAS, 1 / ALDEAS INFANTILES",368594.603656,3145403.29283,-16.3417507324,28.4284975736
89.0,01109, ACCESO,2700.0,CT 3251,AV NUESTRA SRA. DEL CARMEN / CL JOSE GARCIA GARCIA / BAR NENE,378924.699481,3151807.65433,-16.236966204,28.4872928898
90.0,10674,CALLE ESTHER TELLADO AFONSO,2500.0,CT 0752,AV VENEZUELA / CL SALVADOR PEREZ LUZ / CONT. BAS.,375825.354327,3149597.79716,-16.2683860832,28.4670584072
91.0,10025,AVENIDA FRANCISCO LA ROCHE,2700.0,CT 3317,AV FRANCISCO LA ROCHE / CL REPUBLICA DE HONDURAS,377944.278983,3150406.27647,-16.2468321662,28.4745546411
92.0,10025,AVENIDA FRANCISCO LA ROCHE,2700.0,CT 3257,"AV FRANCISCO LA ROCHE, 31",377907.599964,3150194.57791,-16.2471843377,28.4726407268
93.0,10025,AVENIDA FRANCISCO LA ROCHE,1500.0,CT 1217,"AV FRANCISCO LA ROCHE,  5 / BAZAR LA MARINA / CONT. BAS.",377860.394645,3149876.14885,-16.2476326855,28.469762633
94.0,10025,AVENIDA FRANCISCO LA ROCHE,2700.0,CT 3335,"AV FRANCISCO LA ROCHE, 13 / SEGUROS OCASO",377879.281983,3150005.59873,-16.247453516,28.4709326265
95.0,10041,CALLE LA MARINA,2700.0,CT 3327,"CL LA MARINA, 20 / DIRECCION PROVINCIAL DE TRABAJO",377881.071726,3150182.62152,-16.2474540056,28.472530341
96.0,10041,CALLE LA MARINA,2700.0,CT 2593,"CL LA MARINA, 16",377877.335354,3150104.53135,-16.2474838859,28.4718252642
97.0,10041,CALLE LA MARINA,2700.0,CT 2021,CL LA MARINA / PLAZA ISABEL II / P.E.,377839.844601,3149899.31436,-16.247845016,28.4699697652
98.0,10257,CALLE DOCTOR JOSE NAVEIRAS,2700.0,CT 2520,"CL DTOR. JOSE NAVEIRAS, 46 / CL GENERAL MOSCARDO",377196.007577,3150478.1933,-16.25448213,28.4751333676
99.0,10257,CALLE DOCTOR JOSE NAVEIRAS,2500.0,CT 0659,CL DTOR. JOSE NAVEIRAS / CL MARTIN BENCOMO / HT MENCEY,377261.767718,3150428.49955,-16.253805205,28.4746911008
100.0,10260,CALLE AFILARMONICA NIFU-NIFA,2700.0,CT 3172,CL AFILARMONICA NI FU NI FA / CENTRO DE EMPRESAS,377589.790706,3149285.03573,-16.2503335086,28.4644027379
101.0,10273,RAMBLA DE SANTA CRUZ,1500.0,CT 1175,"AV SANTA CRUZ, 61 / CL DTOR. PABLOS ABRIL",377944.907313,3150634.72062,-16.2468499607,28.4766162996
102.0,10273,RAMBLA DE SANTA CRUZ,2700.0,CT 3194,AV ANAGA / EDIF. AUTORIDAD PORTUARIA,378110.428578,3150704.96441,-16.2451668467,28.4772657077
103.0,10273,RAMBLA DE SANTA CRUZ,1500.0,CT 1159,CL PEREZ DE ROSAS / RB GENERAL FRANCO,376655.839136,3149819.92369,-16.2599285392,28.4691418175
104.0,10524,AVENIDA DE ANAGA,2700.0,CT 2510,AV ANAGA-CT A SAN ANDRES / CLUB NAUTICO (INT),378442.481355,3150930.97698,-16.2417992656,28.4793363806
105.0,10524,AVENIDA DE ANAGA,2700.0,CT 3282,AV ANAGA-CT A SAN ANDRES / CLUB NAUTICO (FRENTE),378387.712495,3150953.99577,-16.2423610931,28.4795390045
106.0,10532,CALLE CARLOS J.R. HAMILTON,2500.0,CT 0036,CL CARLOS J. R. HAMILTON / CL ESPERANTO / CONT. BAS.,377886.619915,3150655.27067,-16.2474474572,28.4767962938
107.0,10532,CALLE CARLOS J.R. HAMILTON,2700.0,CT 2507,CL CARLOS J. R. HAMILTON / OFICINAS UNELCO / P.E.,378065.592118,3150772.96638,-16.245631987,28.4778751989
108.0,10532,CALLE CARLOS J.R. HAMILTON,3000.0,CT 0013,"CL CARLOS J. R. HAMILTON, 19 / FREMAP / P.E.",378139.945914,3151046.09514,-16.2449014731,28.4803470112
109.0,10532,CALLE CARLOS J.R. HAMILTON,2700.0,CT 3334,CL CARLOS J. R. HAMILTON / EDIF. DELINES / CAF. LA SIFONERIA,378142.935011,3150974.73045,-16.2448633898,28.4797032583
110.0,10532,CALLE CARLOS J.R. HAMILTON,2700.0,CT 3142,CL CARLOS J. R. HAMILTON / CL ELIAS RAMOS GLEZ.,378142.104264,3150910.93447,-16.244865123,28.4791274522
111.0,10540,CALLE LOS CALADOS,2700.0,CT 2720,RB BENTACAYSE / CL CALADOS / C.C. CARREFOUR,372539.077378,3145037.57728,-16.3014428846,28.4255881702
112.0,10540,CALLE LOS CALADOS,2700.0,CT 3260,AV PRINCIPAL DE A¥AZA / CL LOS CALADOS / EDIF. LOS GUIRRES,372430.490943,3145003.2872,-16.3025475854,28.4252681212
113.0,52385,CALLE BIGUIPALA,2700.0,CT 2035,"CL CRUZ DE LA GALLEGA / CL BIGUIPALA, 1",370969.37693,3145479.07478,-16.3175162392,28.4294182582
114.0,52385,CALLE BIGUIPALA,2700.0,CT 1877,CL BIGUIPALA (FINAL) / AA.VV. GUACIMARA,370815.438418,3145367.35727,-16.3190752433,28.4283948628
115.0,52427,CALLE CAPUCHINA,2700.0,CT 2735,"CL CAPUCHINA, 34 (VIRADERO BUS)",369105.411207,3145030.79812,-16.3364939263,28.4251873813
116.0,52435,CALLE CASTAÑO,2700.0,CT 2364,CL EL CASTA¥O / COLEGIO PUBLICO EL TABLERO,369523.253136,3144574.65188,-16.3321769739,28.4211127949
117.0,83124,CALLE DOCTOR CORVINIANO RODRIGUEZ LOPEZ,2700.0,CT 2334,CL DOCTOR CORVINIANO RGUEZ. LOPEZ / CL GUACIMARA,373986.463903,3148207.96893,-16.2870136668,28.4543396038
118.0,83252,CALLE DOCTOR FERNANDO BARAJAS PRAT,2700.0,CT 3171,"CL EDUARDO ZAMACOIS, 7 / PABELLON DEPORTES / CONT.BAS.",376637.046806,3148992.69788,-16.2600318924,28.4616747472
119.0,10989,CALLE CENTAURO,2700.0,CT 3254,CL REMANSO / CL CENTAURO,374498.24074,3147343.01719,-16.2816936735,28.4465832404
120.0,10064,CALLE SAN FRANCISCO,3000.0,STR 4,CL SAN FRANCISCO ESQUINA VILLALBA HERVAS,377717.348321,3149631.68602,-16.2490676427,28.467543062
121.0,10095,CALLE MENDEZ NUÑEZ,2700.0,CT 3418,CL MENDEZ NU¥EZ / CL EL PILAR,377346.39694,3150057.45307,-16.2529013503,28.4713505563
122.0,10095,CALLE MENDEZ NUÑEZ,2700.0,CT 3144,CL MENDEZ NU¥EZ / CASA SINDICAL / CONT. BAS.,377487.631789,3150225.96343,-16.2514768485,28.4728845614
123.0,10095,CALLE MENDEZ NUÑEZ,2700.0,CT 2206,CL MENDEZ NU¥EZ / CL SAN MARTIN,377543.303727,3150288.73447,-16.2509149389,28.4734562709
124.0,10095,CALLE MENDEZ NUÑEZ,1500.0,CT 1157,"CL MENDEZ NU¥EZ, 108 / CL ULISES GUIMERA CASTELLANOS",377667.724903,3150441.92571,-16.2496604765,28.4748504309
125.0,10095,CALLE MENDEZ NUÑEZ,2700.0,CT 3152,CL MENDEZ NU¥EZ / CL PI Y MARGALL,377159.824957,3149836.16968,-16.2547832029,28.4693360154
126.0,10095,CALLE MENDEZ NUÑEZ,1300.0,CT 0966,"CL MENDEZ NU¥EZ, 12 / BAR REST. HARLEYS / CONT. BAS.",377118.724869,3149788.71776,-16.2551978863,28.4689039121
127.0,10097,AVENIDA MARITIMA DE SAN ANDRES,2700.0,CT 3312,"AV DIQUE, 1 (AL PRINCIPIO) / BAR LOS CHURRITOS",383275.653364,3153552.94086,-16.1926998009,28.5034406689
128.0,10107,CALLE EL REMANSO,2700.0,CT 3248,CL REMANSO / CL EL ROCIO,374428.258308,3147395.00792,-16.2824138868,28.4470456949
129.0,10109,CALLE ROBERTO SANCHEZ SUAREZ,2700.0,CT 2827,CL SAN BORONDON / CL ROBERTO SANCHEZ SUAREZ / CL ZONZAMA,372708.315271,3146999.5926,-16.2999316527,28.4433106707
130.0,10114,CALLE LA ROSA,2500.0,CT 0650,"CL LA ROSA, 106 / CL EL SALUDO",377850.807115,3150384.75922,-16.2477845386,28.4743517017
131.0,10114,CALLE LA ROSA,2700.0,CT 3192,CL LA ROSA/ CL SAN MARTIN / COLEGIO ONESIMO REDONDO,377685.642943,3150068.85715,-16.2494378551,28.4714853487
132.0,10114,CALLE LA ROSA,2700.0,CT 3195,"CL LA ROSA, 27 / CL SAN FRANCISCO JAVIER / CONT. BAS.",377660.999434,3150014.48479,-16.2496837639,28.4709923517
133.0,10114,CALLE LA ROSA,2700.0,CT 3403,CL LA ROSA / CL LA LUNA,377587.226231,3149846.97882,-16.2504194039,28.4694737654
134.0,10126,CALLE VOLCAN TINGUATON,2700.0,CT 2313,"CL VOLCAN TINGUANTON, 4",371652.07951,3147160.6273,-16.3107337843,28.4446604554
135.0,10134,CALLE JOSE MARIA PEREDA,1500.0,CT 1233,CL MESONERO ROMANOS / CL AGUAMARINA / CONT. BAS.,373856.438169,3148118.29601,-16.2883315713,28.4535177918
136.0,10189,CALLE LA PICONERA,2700.0,CT 2068,CL LA PICONERA / AV  LAS MORADITAS / CL CHAFIRA / CL TAMADUSTE,373547.055096,3147327.38087,-16.291403978,28.4463503033
137.0,10217,CALLE EL TRAILER,2700.0,CT 3421,CL TRAILER / CL LA CHERCHA,370580.010435,3146116.37391,-16.3215626088,28.4351309157
138.0,10243,CALLE CIGÜEÑA,2700.0,CT 2759,"CL CALVARIO / CL EL GANZO, 2 / COLEGIO S/C DE CALIFORNIA",370593.21756,3146607.62488,-16.3214828679,28.4395654258
139.0,10276,CALLE LOMO SAN PEDRO,2700.0,CT 3153,AV LOS MAJUELOS / AV LITRE,370804.566372,3146116.00028,-16.3192700299,28.4351497852
140.0,10278,AVENIDA ANDRES VIDAL DENIZ (AFRICUYA),2700.0,CT 3286,AV PLAYA LOS PESCADITOS / CAMPO DE FUTBOL,380055.638294,3152608.57513,-16.2254976282,28.4946254822
141.0,10282,CALLE AUTODATE,2700.0,CT 2807,"AV LOS MAJUELOS, 115 / TASCA ROTI",370656.162076,3145956.03043,-16.3207671906,28.4336914723
142.0,10289,CALLE NISAMAR,2500.0,CT 0705,"CL DE NIZAMAR, 27 / URB. SOLOMAR / CONT. BAS.",373212.999262,3144987.23326,-16.2945577051,28.4251994407
143.0,10289,CALLE NISAMAR,2700.0,CT 3283,"AV PRINCIPAL DE A¥AZA / CL NIZAMAR, 2",373113.674049,3144966.27221,-16.2955693483,28.4250006336
144.0,10296,CALLE DE LA TOLERANCIA,1300.0,CT 1024,"CL MENDEZ NU¥EZ / CL GARCIA MORATO, 1",377548.16101,3150344.78005,-16.2508712894,28.4739625112
145.0,10301,CALLE PUNTA DE ANAGA,2700.0,CT 3268,CL PUNTA DE ANAGA / CL EL VIENTO / CAF. AVENIDA,371857.810667,3145428.02953,-16.3084408299,28.4290450915
146.0,10301,CALLE PUNTA DE ANAGA,2700.0,CT 2401,"CL PUNTA DE ANAGA, 8",371916.098065,3145509.85607,-16.3078548725,28.4297892428
147.0,10301,CALLE PUNTA DE ANAGA,2700.0,CT 2024,"CL PUNTA DE ANAGA, 6A",371947.857224,3145552.82434,-16.3075354181,28.4301801191
148.0,10301,CALLE PUNTA DE ANAGA,2700.0,CT 2508,"CL PUNTA DE ANAGA, 34",371608.29722,3145094.71341,-16.3109509586,28.4260126183
149.0,10305,CALLE BENTEJUI,2700.0,CT 2345,RB BENTACAYSE / C. DE SALUD,372652.28944,3144901.19972,-16.3002721326,28.4243684879
150.0,10307,CALLE SAN FERNANDO,2700.0,CT 2351,RB GRAL. FRANCO / CL SAN FERNANDO,377576.931072,3150452.01391,-16.2505888536,28.4749329471
151.0,10311,PASEO ESPRONCEDA,2700.0,CT 2321,CL JOSE M. PERERA / CL ARCIPRESTE DE HITA,373737.247913,3148156.78064,-16.2895528491,28.4538535619
152.0,10312,CALLE PUNTA DE RASCA,2700.0,CT 2316,CL PUNTA DE RASCA / CL MONZON / BODEGON LA TELARA¥A,371744.972243,3145528.53793,-16.3096039266,28.4299410382
153.0,10316,CALLE PUNTA DEL DRAGO,2700.0,CT 2324,"CL PUNTA DE JURADO, 7 / CL PUNTA DEL DRAGO",371933.659012,3145737.02747,-16.3077008021,28.4318410435
154.0,10316,CALLE PUNTA DEL DRAGO,2700.0,CT 2347,CL PUNTA DEL DRAGO / CL EL SIMéN,371713.960358,3145728.43381,-16.3099427357,28.4317419244
155.0,10331,CALLE SAN ISIDRO,2700.0,CT 2089,CL MENDEZ NU¥EZ / CL SAN ISIDRO,377737.221416,3150517.02678,-16.2489586606,28.4755347028
156.0,10337,CALLE EL PERENQUEN,2700.0,CT 2402,"CL PERENQUEN, 1 / CL AUTODATE",370736.564408,3146314.02798,-16.3199864585,28.4369301187
157.0,10348,CALLE EL PICHE,2700.0,CT 2203,"CL EL PICHE, 61",370403.280055,3145909.37892,-16.3233436386,28.4332453978
158.0,10348,CALLE EL PICHE,2700.0,CT 2408,"CL EL PICHE, 55",370458.578355,3146126.83575,-16.3228035068,28.4352132831
159.0,10348,CALLE EL PICHE,2700.0,CT 2410,CL EL PICHE / AV EL LITRE,370498.183895,3146324.86345,-16.3224213894,28.4370042753
160.0,10353,PASEO MARRUILLO,2500.0,CT 0652,"CL LUIS BRAILLE, 1 / CONT. BAS.",372932.771387,3144758.19367,-16.2973931632,28.4231052593
161.0,10433,CALLE PUNTA DE TENO,2700.0,CT 2023,"CL PUNTA DE TENO, 7 / P.E.",371914.429152,3145611.06192,-16.3078831402,28.430702398
162.0,10368,CALLE LA GABETA,2700.0,CT 2762,CL GAVETA / CL BAJIO,371417.299341,3146454.28473,-16.3130521973,28.4382630719
163.0,10369,CALLE EL CAMBULLON,2700.0,CT 2386,CL CAMBULLON / CL AUTODATE,370631.946001,3145965.79814,-16.3210155089,28.4337772199
164.0,10369,CALLE EL CAMBULLON,2700.0,CT 2027,CL CAMBULLON / CL SIEMPREVIVA,370770.462305,3145940.1554,-16.3195985145,28.4335595293
165.0,10378,CALLE INGENIERO CERVERA,2500.0,CT 0848,CL SUBIDA AL MAYORAZGO / CL INGENIERO CERVERA / BAR EL MAYORAZGO,373985.498265,3147060.22902,-16.2868981069,28.4439818254
166.0,10388,AVENIDA NUESTRA SEÑORA DEL CARMEN,2700.0,CT 3309,AV NUESTRA SRA. DEL CARMEN / PLAZOLETA,378754.69457,3152091.24494,-16.2387326037,28.4898363512
167.0,10400,CALLE FERNANDO H. GUZMAN,2700.0,CT 3244,"CL FERNANDO H. GUZMAN, 17",377992.878964,3151017.29718,-16.2464005405,28.4800733618
168.0,10400,CALLE FERNANDO H. GUZMAN,2700.0,CT 3267,"CL FERNANDO H. GUZMAN, 5A",377884.928747,3150858.14999,-16.2474862451,28.4786270236
169.0,10411,CALLE TENIENTE ALFONSO GONZALEZ CAMPOS,2700.0,CT 3300,CL ALFONSO GLEZ. CAMPO CON JOSE MELO Y NOVO / INSTITUTO,374061.208845,3148196.72412,-16.286249204,28.4542453441
170.0,10444,CALLE ROSALIA DE CASTRO,2500.0,CT 0031,CL ROSALIA DE CASTRO (AL PRINCIPIO),373844.474463,3147944.35639,-16.2884347018,28.4519469328
171.0,10444,CALLE ROSALIA DE CASTRO,2700.0,CT 2366,CL ROSALIA DE CASTRO / CL FRAY ANTONIO DE GUEVARA / DETRµS COLEGIO ECHEIDE,373717.738792,3147989.33564,-16.2897337189,28.4523405824
172.0,10465,CALLE EL MURION,2700.0,CT 2393,CL MALPAIS / CL EL MURION / REST. CHINO,371699.157793,3147037.70067,-16.3102394346,28.4435557528
173.0,10476,CALLE EL CANARIO,1500.0,CT 1279,"AV DE TINCER / CL LOS ALAMOS, 15",372381.756387,3147062.36364,-16.303272784,28.4438452479
174.0,10477,CALLE EL PAPITO,2700.0,CT 2710,CL PAPITO / CL LA GRULLA,370987.032689,3146729.67399,-16.317475808,28.4407058195
175.0,10481,CALLE TRANSVERSAL ANATOLIO DE FUENTES,2700.0,CT 2789,CL ANATOLIO FUENTES GARCIA / CRUCE AUTOPISTA DEL SUR,375355.69417,3147270.99432,-16.2729308787,28.4460154579
176.0,10519,CALLE ABORA,2700.0,CT 2505,CL ACORAN / CL MAYANTIGO,372295.212768,3144134.33882,-16.3038324572,28.4174131678
177.0,10519,CALLE ABORA,2700.0,CT 2388,CL ABORA / CL ACHAMAN,372190.967998,3143921.73928,-16.3048730193,28.4154843912
178.0,30293,CALLE FERNANDO PRIMO DE RIVERA,2700.0,CT 2545,CL FERNANDO PRIMO DE RIVERA / RB GENERAL FRANCO,376519.683178,3149719.71608,-16.2613083197,28.4682246065
179.0,30304,AVENIDA ISLAS CANARIAS,2500.0,CT 0840,AV ISLAS CANARIAS / GLORIETA 29 DE MAYO / CLUB DE TENIS,375774.539673,3149424.05588,-16.2688862942,28.4654856454
180.0,30304,AVENIDA ISLAS CANARIAS,1500.0,CT 1053,AV ISLAS CANARIAS / CL SANTIAGO CUADRADO,376379.195603,3149681.23146,-16.2627389358,28.4678639892
181.0,30304,AVENIDA ISLAS CANARIAS,2500.0,CT 0647,AV ISLAS CANARIAS / CL JOSE PLACIDO SANSON,375975.245104,3149500.36504,-16.266844838,28.4661934015
182.0,30312,CALLE ISLA DE LA GOMERA,2700.0,CT 2086,CL SALAMANCA / CL ISLA DE LA GOMERA / CINE PRICE.,376318.292745,3149752.22252,-16.2633685323,28.4684988701
183.0,30351,CALLE SALAMANCA,1300.0,CT 0981,"CL SALAMANCA, 32 / CL FERNANDO PRIMO DE RIVERA",376318.666382,3149814.61993,-16.2633714155,28.4690620094
184.0,30351,CALLE SALAMANCA,1500.0,CT 1050,"AV ISLAS CANARIAS, 26 / CL SALAMANCA / SALON RECREATIVO (DETRµS)",376293.024849,3149672.71284,-16.2636180465,28.4677789396
185.0,30366,CALLE SANTIAGO CUADRADO,2700.0,CT 3281,CL DE LOS SUE¥OS / CL SANTIAGO CUADRADO,376426.809433,3149900.04584,-16.2622761473,28.4698431888
186.0,30366,CALLE SANTIAGO CUADRADO,2700.0,CT 2527,"CL SANTIAGO CUADRADO, 16",376414.753407,3149806.61164,-16.262389249,28.4689988511
187.0,32342,CALLE RAMON TRUJILLO TORRES,2500.0,CT 0780,CL RAMON TRUJILLO TORRES / CL DTOR. ALBERTO DE ARMAS,375515.798847,3149574.29891,-16.2715448708,28.4668168293
188.0,32415,CALLE FELIPE PEDRELL,2500.0,CT 0375,AV GENERAL MOLA / CL FELIPE PEDRELL,375607.523859,3149372.49395,-16.2705863469,28.4650044042
189.0,32485,CALLE DOCTOR SALVADOR PEREZ LUZ,2700.0,CT 2348,AV VENEZUELA / CENTRO MEDICO,375626.952992,3149569.40074,-16.2704091863,28.466783234
190.0,45586,CALLE TAJARASTE,2700.0,CT 2605,"CL TAJARASTE / CL ALEJANDRO MAGNO, 1 / CONT. BAS.",374192.532264,3148680.03533,-16.2849609841,28.4586196172
191.0,45594,CALLE ALEJANDRO MAGNO,2700.0,CT 2755,"CL ALEJANDRO MAGNO / CL SIMBAD, 2 / EL CIGšE¥AL",374209.719574,3148534.69047,-16.2847696126,28.4573096228
192.0,45605,CALLE AMADIS,1500.0,CT 1240,CL NICOLAS GLEZ. SOPRANIS / CL DE AMADIS,374211.702584,3148832.95322,-16.2847819133,28.4600014604
193.0,45683,CALLE TENO,2700.0,CT 2769,CM DEL HIERRO / CL TENO / CL HERQUES,374535.508244,3148438.96975,-16.281432408,28.4564771768
194.0,45691,CALLE TAMADAYA,2700.0,CT 2750,"CL TENO / CL HERQUES / CL TAMADAYA,16",374673.006721,3148495.38896,-16.2800344882,28.4569995466
195.0,45691,CALLE TAMADAYA,1500.0,CT 1287,CM DEL HIERRO / CL GUASIEGRE / CONT. BAS.,374708.128615,3148556.29182,-16.279682462,28.4575525346
196.0,59203,CALLE ACHINECH,2500.0,CT 0653,CT GRAL. DEL SUR / CL LA MONJA / CL SAN RAFAEL / CL ROSADO / CL ACHINECH,371564.886022,3146082.88939,-16.3115040683,28.434926001
197.0,10479,PLAZA POETA LUIS FERIA,2700.0,CT 2574,"CL CERVANTES, 11 / CL CASTELLON DE LA PLANA / (P.E.)",377047.206,3148993.39511,-16.2558434192,28.4617197751
198.0,40403,CARRETERA TAGANANA,2700.0,CT 2808,CT A TAGANANA (ENTRADA AL BARRIO) / P. BUS,381009.144901,3159770.76765,-16.2164992351,28.5593485871
199.0,53172,CARRETERA SAN ANDRES-TAGANANA,2700.0,CT 3291,CT A TAGANANA / BAR EL CHORRO,383213.255957,3153730.41852,-16.1933552944,28.5050367491
200.0,53172,CARRETERA SAN ANDRES-TAGANANA,2700.0,CT 1882,"CT A TAGANANA, 19",383261.828788,3153642.24015,-16.1928501018,28.5042453256
201.0,53172,CARRETERA SAN ANDRES-TAGANANA,2500.0,CT 0337,CT A TAGANANA / BAR LA PASADA,383250.246036,3153581.33729,-16.192962252,28.5036946588
202.0,10541,CALLE CATAIXA,2700.0,CT 2765,CL ACORAN / CL CATAIXA,372026.194007,3144195.98896,-16.3065853137,28.4179431993
203.0,10555,CALLE ELIAS RAMOS GONZALEZ,2700.0,CT 3270,CL ELIAS RAMOS GONZALEZ / CL CARLOS J.R. HAMILTON,378195.991489,3150889.91481,-16.2443125097,28.4789427977
204.0,10555,CALLE ELIAS RAMOS GONZALEZ,2700.0,CT 3187,CL ELIAS RAMOS GLEZ. / AV ANAGA / EDIF. MANIGUA,378253.157976,3150832.37469,-16.2437225433,28.4784288671
205.0,10558,CALLE JUSTO NICOMEDES GONZALEZ DIAZ,2700.0,CT 2355,"CL PARTECAMINOS / CL TRASERA CAMPO FUTBOL VALERIANA, 1",370733.847814,3144769.03163,-16.3198411769,28.4229873004
206.0,10559,RAMBLA AÑAZA,2700.0,CT 2397,"RB DE A¥AZA, 4 / CENTRO DE AYUDA A LA MUJER",372515.418671,3144728.3027,-16.3016502545,28.4227948438
207.0,10559,RAMBLA AÑAZA,2700.0,CT 2711,"RB DE A¥AZA, 11",372569.969698,3144718.2145,-16.3010922791,28.4227091268
208.0,10559,RAMBLA AÑAZA,2700.0,CT 2814,RB DE A¥AZA / RB BENTACAYSE / ESC. INFANTIL TARA,372628.630733,3144762.30368,-16.3004983251,28.423112727
209.0,10559,RAMBLA AÑAZA,2700.0,CT 2312,"RB DE A¥AZA, 24 / REST. LA NAVA",372830.888006,3145194.50489,-16.2984812588,28.427032795
210.0,10559,RAMBLA AÑAZA,2700.0,CT 2391,"RB DE A¥AZA, 19",372822.667988,3145082.04011,-16.2985527842,28.4260170665
211.0,10562,CALLE VOLCAN JEDEY,2700.0,CT 3189,CL EL CEDRO (DETRAS ROTONDA) / AV LOS MAJUELOS / CONT. BAS.,372039.099353,3147183.05845,-16.3067847359,28.4449008881
